0.00s | Vermelho | Pos: (-3.10e+11, 1.44e+08) | Vel: (1.72e+01, 2.00e+04) | Acel: (2.39e-03, 3.86e-04)
0.00s | Verde | Pos: (1.00e+11, 1.44e+08) | Vel: (-4.54e+01, 2.00e+04) | Acel: (-6.31e-03, 4.72e-03)
0.00s | Azul | Pos: (-1.80e+08, 1.00e+11) | Vel: (-2.50e+04, -5.65e+01) | Acel: (4.68e-03, -7.85e-03)
7200.00s | Vermelho | Pos: (-3.10e+11, 2.88e+08) | Vel: (3.44e+01, 2.00e+04) | Acel: (2.39e-03, 3.86e-04)
7200.00s | Verde | Pos: (1.00e+11, 2.89e+08) | Vel: (-9.09e+01, 2.01e+04) | Acel: (-6.31e-03, 4.71e-03)
7200.00s | Azul | Pos: (-3.59e+08, 1.00e+11) | Vel: (-2.49e+04, -1.13e+02) | Acel: (4.69e-03, -7.84e-03)
14400.00s | Vermelho | Pos: (-3.10e+11, 4.32e+08) | Vel: (5.16e+01, 2.00e+04) | Acel: (2.39e-03, 3.87e-04)
14400.00s | Verde | Pos: (1.00e+11, 4.33e+08) | Vel: (-1.36e+02, 2.01e+04) | Acel: (-6.32e-03, 4.70e-03)
14400.00s | Azul | Pos: (-5.39e+08, 1.00e+11) | Vel: (-2.49e+04, -1.69e+02) | Acel: (4.70e-03, -7.82e-03)
21600.00s | Vermelho | Pos: (-3.10e+11, 5.76e+08) | Vel: (6.89e+01, 2.00e+04) | Acel: (2.39e-03, 3.87e-04)
21600.00s | Verde | Pos: (1.00e+11, 5.78e+08) | Vel: (-1.82e+02, 2.01e+04) | Acel: (-6.33e-03, 4.69e-03)
21600.00s | Azul | Pos: (-7.18e+08, 1.00e+11) | Vel: (-2.49e+04, -2.26e+02) | Acel: (4.70e-03, -7.81e-03)
28800.00s | Vermelho | Pos: (-3.10e+11, 7.20e+08) | Vel: (8.61e+01, 2.00e+04) | Acel: (2.40e-03, 3.87e-04)
28800.00s | Verde | Pos: (1.00e+11, 7.24e+08) | Vel: (-2.28e+02, 2.02e+04) | Acel: (-6.33e-03, 4.68e-03)
28800.00s | Azul | Pos: (-8.96e+08, 1.00e+11) | Vel: (-2.48e+04, -2.82e+02) | Acel: (4.71e-03, -7.80e-03)
36000.00s | Vermelho | Pos: (-3.10e+11, 8.64e+08) | Vel: (1.03e+02, 2.00e+04) | Acel: (2.40e-03, 3.87e-04)
36000.00s | Verde | Pos: (1.00e+11, 8.69e+08) | Vel: (-2.73e+02, 2.02e+04) | Acel: (-6.34e-03, 4.67e-03)
36000.00s | Azul | Pos: (-1.07e+09, 1.00e+11) | Vel: (-2.48e+04, -3.38e+02) | Acel: (4.71e-03, -7.78e-03)
43200.00s | Vermelho | Pos: (-3.10e+11, 1.01e+09) | Vel: (1.21e+02, 2.00e+04) | Acel: (2.40e-03, 3.87e-04)
43200.00s | Verde | Pos: (1.00e+11, 1.01e+09) | Vel: (-3.19e+02, 2.02e+04) | Acel: (-6.34e-03, 4.66e-03)
43200.00s | Azul | Pos: (-1.25e+09, 1.00e+11) | Vel: (-2.48e+04, -3.94e+02) | Acel: (4.72e-03, -7.77e-03)
50400.00s | Vermelho | Pos: (-3.10e+11, 1.15e+09) | Vel: (1.38e+02, 2.00e+04) | Acel: (2.40e-03, 3.88e-04)
50400.00s | Verde | Pos: (1.00e+11, 1.16e+09) | Vel: (-3.65e+02, 2.03e+04) | Acel: (-6.35e-03, 4.65e-03)
50400.00s | Azul | Pos: (-1.43e+09, 1.00e+11) | Vel: (-2.47e+04, -4.50e+02) | Acel: (4.72e-03, -7.76e-03)
57600.00s | Vermelho | Pos: (-3.10e+11, 1.30e+09) | Vel: (1.55e+02, 2.00e+04) | Acel: (2.40e-03, 3.88e-04)
57600.00s | Verde | Pos: (1.00e+11, 1.31e+09) | Vel: (-4.10e+02, 2.03e+04) | Acel: (-6.36e-03, 4.65e-03)
57600.00s | Azul | Pos: (-1.61e+09, 1.00e+11) | Vel: (-2.47e+04, -5.05e+02) | Acel: (4.73e-03, -7.74e-03)
64800.00s | Vermelho | Pos: (-3.10e+11, 1.44e+09) | Vel: (1.73e+02, 2.00e+04) | Acel: (2.40e-03, 3.88e-04)
64800.00s | Verde | Pos: (1.00e+11, 1.45e+09) | Vel: (-4.56e+02, 2.03e+04) | Acel: (-6.36e-03, 4.64e-03)
64800.00s | Azul | Pos: (-1.79e+09, 1.00e+11) | Vel: (-2.47e+04, -5.61e+02) | Acel: (4.74e-03, -7.73e-03)
72000.00s | Vermelho | Pos: (-3.10e+11, 1.59e+09) | Vel: (1.90e+02, 2.00e+04) | Acel: (2.41e-03, 3.88e-04)
